Data;dolar australian (lei) CURSZ_AUD;dolar canadian (lei) CURSZ_CAD;franc elveţian (lei) CURSZ_CHF;euro (lei) CURSZ_EUR;leu moldovenesc (lei) CURSZ_MDL;dolar SUA (lei) CURSZ_USD
08.11.2022;3,1684;3,6232;4,9449;4,8912;0,2533;4,8917
07.11.2022;3,1607;3,6283;4,9422;4,8871;0,2582;4,8959
04.11.2022;3,1784;3,6626;4,9578;4,8876;0,2601;4,9919
03.11.2022;3,1647;3,6549;4,9653;4,901;0,2569;5,0344
02.11.2022;3,1859;3,6468;4,9757;4,9113;0,2562;4,9624
01.11.2022;3,1896;3,6523;4,9819;4,9134;0,2562;4,947
31.10.2022;3,1613;3,6198;4,946;4,9141;0,2556;4,9487
28.10.2022;3,1643;3,6245;4,9587;4,9128;0,2531;4,935
27.10.2022;3,1446;3,5826;4,9242;4,889;0,2521;4,8734
26.10.2022;3,1519;3,5918;4,9194;4,8793;0,2555;4,8676
25.10.2022;3,1347;3,6165;4,9551;4,9038;0,2574;4,9684
24.10.2022;3,146;3,6455;4,9941;4,9139;0,2599;5,0045
21.10.2022;3,1527;3,6502;4,9896;4,913;0,2581;5,0434
20.10.2022;3,1664;3,6624;5,0105;4,9246;0,2595;5,0328
19.10.2022;3,1699;3,6569;5,0219;4,929;0,2589;5,0234
18.10.2022;3,1542;3,6449;5,0429;4,9357;0,2607;5,0185
17.10.2022;3,1616;3,6635;5,0494;4,936;0,2613;5,0597
14.10.2022;3,1895;3,6764;5,0587;4,935;0,2616;5,0743
13.10.2022;3,1957;3,6808;5,0879;4,9416;0,262;5,0782
12.10.2022;3,1887;3,6953;5,1107;4,9397;0,2619;5,0904
11.10.2022;3,1892;3,6751;5,0912;4,9367;0,2621;5,0896
10.10.2022;3,2134;3,7065;5,0999;4,9395;0,2596;5,0891
07.10.2022;3,2373;3,6767;5,0873;4,941;0,2572;5,0408
06.10.2022;3,2315;3,6544;5,078;4,9366;0,2555;4,992
05.10.2022;3,2201;3,6634;5,0577;4,9419;0,2562;4,9805
04.10.2022;3,2514;3,6772;5,07;4,9471;0,2591;5,013
03.10.2022;3,2654;3,6803;5,1139;4,948;0,2594;5,0712
30.09.2022;3,2777;3,6857;5,1652;4,949;0,2606;5,0469
29.09.2022;3,3041;3,7268;5,206;4,9486;0,2644;5,1027
28.09.2022;3,3069;3,752;5,2155;4,9479;0,263;5,1794
27.09.2022;3,3312;3,7496;5,1954;4,9437;0,2631;5,1379
26.09.2022;3,3255;3,7514;5,1775;4,9427;0,2606;5,1135
23.09.2022;3,3294;3,7421;5,1569;4,9437;0,2578;5,0679
22.09.2022;3,324;3,7178;5,1334;4,9412;0,2569;5,0103
21.09.2022;3,3215;3,7239;5,1663;4,9436;0,2549;4,9764
